i,TIME,SLT-RG(M),AZIMUTH,ELEVATION,HOR-RG(M),NORTH-SOUTH,EAST-WEST,V.-AZ,ALT.(M),LATITUDE,LONGITUDE,TVEL(M).,E/W-VEL.,N/S-VEL.,ALT-VEL(M),FLT-EL,FLT-AZ,LK-RG(M),LOOK-AZ,LOOK-EL
1.43452E+11,0.45,56600,-165.6404,-0.1455,31,0,0,0,1332.4,32.417747,-106.320274,194.9,-12.9,151.8,121.5,38.5763,355.1528,126,-134.4678,75.9756
1.43452E+11,0.5,56593,-165.6378,-0.1396,26,0,0,0,1338.3,32.417816,-106.320274,178.5,-10.8,138.2,112.5,39.075,355.5279,131,-122.3011,78.3191
1.43452E+11,0.55,56587,-165.6355,-0.1341,24,0,0,0,1343.7,32.417877,-106.320282,161.9,-8.7,124.2,103.4,39.7117,355.9754,136,-108.3731,79.766
1.43452E+11,0.6,56581,-165.6335,-0.129,23,0,0,0,1348.6,32.417927,-106.320282,145.2,-6.7,110.2,94.3,40.5198,356.5317,141,-94.3013,80.4366
1.43452E+11,0.65,56576,-165.6317,-0.1244,24,0,0,0,1353.1,32.417976,-106.320312,128.5,-4.6,96.1,85.2,41.5452,357.2527,145,-81.8048,80.5528
1.43452E+11,0.7,56572,-165.6302,-0.1203,25,0,0,0,1357.2,32.418015,-106.320312,111.9,-2.5,82,76.1,42.8693,358.2254,149,-71.7188,80.3531
1.43452E+11,0.75,56569,-165.6291,-0.1167,26,0,0,0,1360.8,32.418045,-106.320312,95.4,-0.5,67.9,67,44.6381,359.6113,153,-64.0541,80.03
1.43452E+11,0.8,56566,-165.6283,-0.1135,28,0,0,0,1363.9,32.418072,-106.320312,79,1.6,53.7,57.9,47.1052,1.7461,156,-58.4086,79.7083
1.43452E+11,0.85,56564,-165.6278,-0.1108,29,0,0,0,1366.5,32.418095,-106.320312,63.2,3.8,39.9,48.9,50.6815,5.3963,159,-54.3464,79.4617
1.43452E+11,0.9,56562,-165.6275,-0.1085,30,0,0,0,1368.8,32.418106,-106.320312,48.3,5.9,26.4,40,55.9685,12.6236,162,-51.5009,79.324
1.43452E+11,0.95,56561,-165.6276,-0.1067,30,0,0,0,1370.5,32.418125,-106.320312,35.6,8.1,13.9,31.8,63.104,30.1189,163,-49.6106,79.3141
1.43452E+11,1,56560,-165.6279,-0.1053,30,0,0,0,1372,32.418125,-106.320282,27.2,10.4,3.4,24.9,66.3362,71.6092,165,-48.4377,79.4302
1.43452E+11,1.05,56560,-165.6285,-0.1041,30,0,0,0,1373.1,32.418125,-106.320282,24.2,12.7,-4,20.3,56.6696,107.5832,166,-47.7465,79.6537
1.43452E+11,1.1,56560,-165.6292,-0.1032,29,0,0,0,1374,32.418125,-106.320274,25.3,15.2,-7.8,18.7,47.6582,117.1152,167,-47.2751,79.9569
1.43452E+11,1.15,56561,-165.6301,-0.1022,28,0,0,0,1375,32.418114,-106.320274,28.2,17.6,-7.9,20.6,46.8655,114.2963,167,-46.7472,80.3094
1.43452E+11,1.2,56561,-165.6312,-0.101,27,0,0,0,1376.2,32.418114,-106.320274,33.5,19.9,-5.5,26.5,52.0511,105.506,168,-45.9411,80.6843
1.43452E+11,1.25,56560,-165.6322,-0.0994,26,0,0,0,1377.7,32.418106,-106.320244,42.6,21.9,-2,36.5,58.9607,95.1722,170,-44.6367,81.0604
1.43452E+11,1.3,56560,-165.6333,-0.0972,26,0,0,0,1379.9,32.418106,-106.320244,55.9,23.6,1.4,50.7,65.0233,86.566,172,-42.853,81.4365
1.43452E+11,1.35,56560,-165.6345,-0.0942,25,0,0,0,1382.8,32.418114,-106.320213,72.6,24.9,4.4,68.1,69.6218,79.9909,175,-40.5736,81.8066
1.43452E+11,1.4,56559,-165.6356,-0.0903,24,0,0,0,1386.7,32.418125,-106.320213,91.4,25.9,7.2,87.4,72.8862,74.4058,178,-37.8508,82.1679
1.43452E+11,1.45,56558,-165.6368,-0.0854,24,0,0,0,1391.6,32.418125,-106.320206,110.7,26.4,10,107,75.2287,69.1657,183,-34.7281,82.5069
1.43452E+11,1.5,56558,-165.6379,-0.0794,24,0,0,0,1397.4,32.418129,-106.320183,129.8,26.1,12.7,126.5,77.0817,63.975,189,-31.3156,82.8102
1.43452E+11,1.55,56557,-165.6389,-0.0725,24,0,0,0,1404.2,32.418137,-106.32016,148.6,24.6,15.1,145.8,78.803,58.358,196,-27.7959,83.0661
1.43452E+11,1.6,56555,-165.6398,-0.0647,24,0,0,0,1412,32.41814,-106.32016,167.1,21.5,17,164.9,80.562,51.5513,203,-24.4312,83.2697
1.43452E+11,1.65,56554,-165.6405,-0.0558,24,0,0,0,1420.7,32.418156,-106.320137,185.6,16.8,18.4,184,82.2966,42.3489,212,-21.4911,83.4261
1.43452E+11,1.7,56553,-165.6409,-0.046,25,0,0,0,1430.4,32.418159,-106.320137,204,10.7,19.3,202.8,83.783,29.0343,222,-19.2146,83.5462
1.43452E+11,1.75,56552,-165.641,-0.0353,26,0,0,0,1441,32.418171,-106.320137,221.8,3.9,20,220.9,84.7369,11.1368,232,-17.7344,83.6408
1.43452E+11,1.8,56552,-165.6407,-0.0236,27,0,0,0,1452.5,32.418175,-106.320137,238.8,-3.1,20.5,237.9,85.0293,351.4503,244,-17.0293,83.716
1.43452E+11,1.85,56551,-165.6401,-0.0112,28,0,0,0,1464.8,32.41819,-106.320137,254.9,-10.1,20.9,253.9,84.7799,334.1922,256,-17.042,83.7747
1.43452E+11,1.9,56550,-165.6392,0.0021,29,0,0,0,1477.8,32.418198,-106.32016,270.1,-17.1,21.3,268.7,84.2034,321.1928,269,-17.7269,83.8215
1.43452E+11,1.95,56549,-165.6379,0.016,30,0,0,0,1491.6,32.418205,-106.32016,284.3,-24,21.6,282.5,83.4839,312.0537,283,-18.9513,83.8509
1.43452E+11,2,56549,-165.6362,0.0307,32,0,0,0,1506.1,32.418217,-106.32016,297.9,-30.3,22,295.5,82.7875,305.9516,298,-20.6252,83.8632
1.43452E+11,2.05,56548,-165.6343,0.046,34,0,0,0,1521.2,32.418224,-106.32019,310.9,-35.4,22.3,308.1,82.2643,302.1782,313,-22.5973,83.8611
1.43452E+11,2.1,56548,-165.6322,0.0619,35,0,0,0,1536.9,32.41824,-106.320213,323.3,-38.6,22.6,320.2,82.0508,300.3167,329,-24.6914,83.8467
1.43452E+11,2.15,56548,-165.63,0.0784,37,0,0,0,1553.2,32.41824,-106.320244,334.9,-39.2,22.8,331.8,82.216,300.1431,345,-26.7012,83.8272
1.43452E+11,2.2,56547,-165.6278,0.0955,39,0,0,0,1570,32.418251,-106.320274,345.3,-37.1,22.9,342.5,82.7468,301.6816,362,-28.467,83.8145
1.43452E+11,2.25,56547,-165.6257,0.1131,41,0,0,0,1587.4,32.418266,-106.320274,353.5,-32.2,22.9,351.3,83.5826,305.4214,380,-29.853,83.8191
1.43452E+11,2.3,56546,-165.624,0.1311,43,0,0,0,1605.1,32.418274,-106.320282,358.9,-25.1,22.8,357.3,84.5761,312.2615,397,-30.7674,83.8488
1.43452E+11,2.35,56546,-165.6227,0.1493,44,0,0,0,1623,32.418282,-106.320312,360.7,-16.7,22.7,359.5,85.5212,323.5461,415,-31.1831,83.9062
1.43452E+11,2.4,56545,-165.6217,0.1675,45,0,0,0,1641,32.418289,-106.320312,358.6,-7.9,22.4,357.9,86.1934,340.5104,433,-31.1142,83.9894
1.43452E+11,2.45,56544,-165.6212,0.1855,46,0,0,0,1658.8,32.418308,-106.320312,353.6,0.3,22.2,352.9,86.3951,0.6802,451,-30.6035,84.0929
1.43452E+11,2.5,56543,-165.6211,0.2032,47,0,0,0,1676.3,32.418316,-106.320312,346.9,7.4,22,346.1,86.1582,18.5545,469,-29.7101,84.2081
1.43452E+11,2.55,56542,-165.6213,0.2206,48,0,0,0,1693.4,32.418324,-106.320312,339.9,13.9,21.9,338.9,85.6272,32.5024,486,-28.5119,84.3299
1.43452E+11,2.6,56541,-165.6218,0.2376,49,0,0,0,1710.1,32.418331,-106.320312,333,20.3,21.7,331.7,84.8882,43.0473,503,-27.0147,84.455
1.43452E+11,2.65,56540,-165.6227,0.2542,49,0,0,0,1726.6,32.41835,-106.320274,326.3,26.2,21.5,324.5,84.0401,50.5575,519,-25.2232,84.579
1.43452E+11,2.7,56539,-165.6238,0.2705,49,0,0,0,1742.6,32.41835,-106.320274,319.8,31.1,21.4,317.6,83.2212,55.4657,535,-23.1842,84.6997
1.43452E+11,2.75,56538,-165.6251,0.2865,50,0,0,0,1758.3,32.418365,-106.320244,313.6,34.5,21.3,311,82.5628,58.2773,551,-20.9576,84.8122
1.43452E+11,2.8,56536,-165.6265,0.3021,50,0,0,0,1773.7,32.418377,-106.320244,307.4,36,21.4,304.6,82.1757,59.2997,566,-18.6333,84.9126
1.43452E+11,2.85,56535,-165.6279,0.3174,51,0,0,0,1788.8,32.418385,-106.320213,301.9,35.2,21.5,299.1,82.1519,58.5697,581,-16.3264,84.996
1.43452E+11,2.9,56534,-165.6293,0.3325,51,0,0,0,1803.6,32.418392,-106.320206,298.5,32.7,21.7,296,82.4495,56.3861,596,-14.1639,85.0636
1.43452E+11,2.95,56532,-165.6305,0.3475,52,0,0,0,1818.4,32.418404,-106.320183,299.1,29.5,22,296.8,82.9308,53.2909,611,-12.2093,85.1175
1.43452E+11,3,56531,-165.6315,0.3627,53,0,0,0,1833.4,32.418411,-106.32016,304.8,26.4,22.3,302.9,83.4846,49.7797,626,-10.4731,85.1589
1.43452E+11,3.05,56530,-165.6324,0.3783,54,0,0,0,1848.8,32.418419,-106.32016,316.6,23.7,22.7,314.9,84.0496,46.2146,641,-8.9459,85.1958
1.43452E+11,3.1,56529,-165.6332,0.3947,55,0,0,0,1865,32.418442,-106.320137,333.9,21.2,23.1,332.4,84.6075,42.5218,657,-7.5959,85.229
1.43452E+11,3.15,56528,-165.6338,0.4121,56,0,0,0,1882.1,32.418446,-106.320137,354.8,18.8,23.6,353.5,85.1269,38.5533,674,-6.4165,85.2626
1.43452E+11,3.2,56527,-165.6343,0.4306,57,0,0,0,1900.4,32.418457,-106.320122,376.9,16.4,24,375.8,85.5744,34.3061,693,-5.4007,85.2973
1.43452E+11,3.25,56526,-165.6347,0.4502,58,0,0,0,1919.7,32.418468,-106.320114,398.9,14.1,24.5,397.9,85.9395,29.9312,712,-4.5386,85.3329
1.43452E+11,3.3,56525,-165.635,0.471,59,0,0,0,1940.1,32.418484,-106.320114,420.5,11.9,24.9,419.6,86.2317,25.6028,733,-3.8163,85.3703
1.43452E+11,3.35,56524,-165.6352,0.4928,60,0,0,0,1961.7,32.418491,-106.320114,442.1,10,25.4,441.3,86.4655,21.4576,754,-3.2201,85.4099
1.43452E+11,3.4,56523,-165.6353,0.5157,62,0,0,0,1984.3,32.41851,-106.320114,463.5,8.2,25.8,462.7,86.6515,17.6197,777,-2.7324,85.4506
1.43452E+11,3.45,56522,-165.6353,0.5397,63,0,0,0,2007.9,32.418514,-106.320114,484.1,6.7,26.2,483.4,86.7967,14.2446,800,-2.3402,85.493
1.43452E+11,3.5,56521,-165.6352,0.5648,64,0,0,0,2032.6,32.418526,-106.320099,503.8,5.4,26.6,503,86.9068,11.5205,825,-2.0229,85.5371
1.43452E+11,3.55,56520,-165.635,0.5908,66,0,0,0,2058.2,32.418537,-106.320099,521.9,4.6,27,521.2,86.988,9.6089,851,-1.7623,85.5815
1.43452E+11,3.6,56519,-165.6349,0.6176,67,0,0,0,2084.7,32.418552,-106.320099,538.2,4.2,27.4,537.5,87.0444,8.6329,877,-1.5411,85.6265
1.43452E+11,3.65,56518,-165.6347,0.6452,68,0,0,0,2111.9,32.418564,-106.320099,551.9,4.2,27.8,551.2,87.0783,8.5939,904,-1.3376,85.6717
1.43452E+11,3.7,56517,-165.6345,0.6735,70,0,0,0,2139.8,32.418579,-106.320061,562.3,4.6,28.2,561.6,87.0901,9.3584,932,-1.1322,85.7157
1.43452E+11,3.75,56517,-165.6343,0.7022,71,0,0,0,2168,32.418587,-106.320061,569,5.4,28.5,568.2,87.079,10.7706,961,-0.9078,85.7574
1.43452E+11,3.8,56516,-165.6342,0.7311,72,0,0,0,2196.5,32.418606,-106.320061,572,6.4,28.8,571.2,87.046,12.6083,989,-0.6581,85.7974
1.43452E+11,3.85,56515,-165.6341,0.7601,74,0,0,0,2225.1,32.418617,-106.320061,572.1,7.6,29,571.4,86.9953,14.6135,1018,-0.3745,85.8344
1.43452E+11,3.9,56514,-165.6341,0.789,75,0,0,0,2253.6,32.418636,-106.320061,571,8.7,29.3,570.2,86.9348,16.5937,1046,-0.0573,85.8684
1.43452E+11,3.95,56513,-165.6342,0.8179,77,0,0,0,2282.1,32.41864,-106.320061,569.9,9.8,29.5,569,86.8713,18.4295,1075,0.2908,85.8997
1.43452E+11,4,56512,-165.6342,0.8468,78,0,0,0,2310.5,32.418655,-106.320061,569.2,10.9,29.8,568.3,86.8082,20.1217,1103,0.6655,85.9279
1.43452E+11,4.05,56511,-165.6344,0.8756,80,0,0,0,2338.9,32.418671,-106.320053,568.9,11.9,30,568,86.7456,21.6917,1132,1.0622,85.9543
1.43452E+11,4.1,56510,-165.6345,0.9044,81,0,0,0,2367.3,32.41869,-106.320053,568.8,12.9,30.3,567.8,86.684,23.1398,1160,1.4815,85.9782
1.43452E+11,4.15,56509,-165.6348,0.9333,83,0,0,0,2395.7,32.418697,-106.320053,568.8,13.9,30.5,567.8,86.6235,24.4857,1189,1.9172,86.0003
1.43452E+11,4.2,56509,-165.635,0.9621,84,0,0,0,2424.1,32.418709,-106.320045,568.8,14.8,30.7,567.8,86.5634,25.7576,1217,2.3682,86.0205
1.43452E+11,4.25,56508,-165.6353,0.9909,86,0,0,0,2452.5,32.418724,-106.320023,569.2,15.7,30.9,568.1,86.5048,26.9758,1245,2.8346,86.0388
1.43452E+11,4.3,56507,-165.6357,1.0198,88,0,0,0,2480.9,32.418739,-106.320023,570.4,16.6,31.1,569.3,86.4507,28.1069,1274,3.3126,86.056
1.43452E+11,4.35,56506,-165.6361,1.0487,89,0,0,0,2509.5,32.418755,-106.320023,572.8,17.5,31.4,571.6,86.4058,29.0845,1303,3.8028,86.0718
1.43452E+11,4.4,56505,-165.6365,1.0778,91,0,0,0,2538.1,32.418766,-106.320023,576.7,18.1,31.6,575.6,86.3767,29.8148,1331,4.2958,86.086
1.43452E+11,4.45,56504,-165.6369,1.1072,92,0,0,0,2567.1,32.418781,-106.320007,582.7,18.6,31.9,581.5,86.3677,30.262,1360,4.7891,86.0997
1.43452E+11,4.5,56503,-165.6374,1.1369,94,0,0,0,2596.3,32.418797,-106.319984,590.7,18.9,32.2,589.5,86.3792,30.4407,1390,5.2774,86.1129
1.43452E+11,4.55,56502,-165.6378,1.1671,96,0,0,0,2626,32.418812,-106.319977,600.2,19,32.4,599,86.4071,30.3868,1419,5.7528,86.1258
1.43452E+11,4.6,56501,-165.6383,1.1978,98,0,0,0,2656.2,32.418835,-106.319977,610.4,19,32.7,609.3,86.4465,30.1432,1450,6.2115,86.1384
1.43452E+11,4.65,56500,-165.6388,1.2289,99,0,0,0,2687,32.41885,-106.319977,620.6,18.9,33,619.4,86.4904,29.7648,1480,6.652,86.1516
1.43452E+11,4.7,56499,-165.6392,1.2606,101,0,0,0,2718.2,32.418865,-106.319954,630.3,18.6,33.2,629.1,86.5339,29.3015,1512,7.0714,86.1647
1.43452E+11,4.75,56498,-165.6396,1.2928,103,0,0,0,2749.9,32.418877,-106.319939,639.7,18.4,33.5,638.5,86.5763,28.7963,1543,7.4709,86.1776
1.43452E+11,4.8,56497,-165.6401,1.3255,105,0,0,0,2782,32.418892,-106.319939,648.9,18.1,33.7,647.8,86.6173,28.2717,1576,7.8476,86.1911
1.43452E+11,4.85,56496,-165.6405,1.3586,106,0,0,0,2814.6,32.418903,-106.319923,657.7,17.9,34,656.6,86.6555,27.7266,1608,8.2032,86.2041
1.43452E+11,4.9,56496,-165.6408,1.3921,108,0,0,0,2847.7,32.418919,-106.319923,665.7,17.6,34.2,664.6,86.6895,27.1684,1641,8.5387,86.2173
1.43452E+11,4.95,56495,-165.6412,1.4261,110,0,0,0,2881.1,32.418938,-106.319908,672.3,17.2,34.4,671.2,86.7173,26.612,1675,8.8536,86.2303
1.43452E+11,5,56494,-165.6415,1.4603,112,0,0,0,2914.8,32.418949,-106.319908,677,16.9,34.6,675.9,86.7366,26.0728,1708,9.1479,86.243
1.43452E+11,5.05,56493,-165.6419,1.4947,114,0,0,0,2948.6,32.418968,-106.319893,679.5,16.7,34.8,678.4,86.7454,25.5704,1742,9.4273,86.2556
1.43452E+11,5.1,56493,-165.6422,1.5291,116,0,0,0,2982.6,32.418983,-106.319885,679.3,16.4,35,678.2,86.742,25.1193,1776,9.6878,86.267
1.43452E+11,5.15,56492,-165.6424,1.5635,118,0,0,0,3016.4,32.419006,-106.31987,676.8,16.2,35.1,675.7,86.7279,24.723,1810,9.9345,86.2779
1.43452E+11,5.2,56491,-165.6427,1.5977,119,0,0,0,3050.1,32.419018,-106.319855,673.3,16,35.2,672.2,86.7079,24.3797,1844,10.1686,86.2878
1.43452E+11,5.25,56491,-165.643,1.6318,121,0,0,0,3083.6,32.419029,-106.319839,669.6,15.8,35.3,668.5,86.6858,24.0785,1878,10.3911,86.2969
1.43452E+11,5.3,56490,-165.6433,1.6656,123,0,0,0,3117,32.419044,-106.319839,666,15.6,35.5,664.8,86.663,23.8057,1911,10.6023,86.305
1.43452E+11,5.35,56489,-165.6435,1.6993,125,0,0,0,3150.1,32.419064,-106.319839,662.4,15.5,35.6,661.3,86.6398,23.5392,1944,10.803,86.3121
1.43452E+11,5.4,56489,-165.6438,1.7328,127,0,0,0,3183.1,32.419079,-106.319839,658.9,15.4,35.7,657.8,86.6162,23.2749,1977,10.995,86.319
1.43452E+11,5.45,56488,-165.644,1.7661,129,0,0,0,3215.9,32.419094,-106.319839,655.5,15.2,35.9,654.3,86.5919,23.0103,2010,11.1772,86.3248
1.43452E+11,5.5,56487,-165.6442,1.7993,131,0,0,0,3248.5,32.419109,-106.319824,652,15.1,36,650.8,86.567,22.7497,2043,11.351,86.33
1.43452E+11,5.55,56487,-165.6445,1.8323,133,0,0,0,3281,32.419136,-106.319801,648.6,15,36.1,647.5,86.5417,22.5013,2075,11.5161,86.3348
1.43452E+11,5.6,56486,-165.6447,1.8651,135,0,0,0,3313.3,32.419151,-106.319801,645.4,14.9,36.3,644.2,86.5168,22.2638,2108,11.6722,86.3387
1.43452E+11,5.65,56486,-165.6449,1.8977,136,0,0,0,3345.4,32.419163,-106.319801,642.4,14.8,36.4,641.2,86.4926,22.0438,2140,11.8222,86.3419
1.43452E+11,5.7,56485,-165.6451,1.9302,138,0,0,0,3377.4,32.419186,-106.319794,639.5,14.6,36.6,638.3,86.4694,21.833,2172,11.9643,86.3446
1.43452E+11,5.75,56484,-165.6452,1.9626,140,0,0,0,3409.2,32.419197,-106.319794,636.7,14.5,36.7,635.5,86.4468,21.6326,2204,12.0998,86.3469
1.43452E+11,5.8,56484,-165.6454,1.9948,142,0,0,0,3440.9,32.419212,-106.319771,634,14.4,36.8,632.8,86.4248,21.4362,2235,12.2299,86.3488
1.43452E+11,5.85,56483,-165.6456,2.0269,144,0,0,0,3472.5,32.419224,-106.319771,631.3,14.3,36.9,630,86.4035,21.2455,2267,12.3541,86.3503
1.43452E+11,5.9,56483,-165.6458,2.0588,146,0,0,0,3503.9,32.419247,-106.319756,628.6,14.2,37,627.3,86.3859,21.0748,2299,12.4734,86.3515
1.43452E+11,5.95,56482,-165.646,2.0906,148,0,0,0,3535.2,32.419266,-106.319756,625.9,14.1,37,624.6,86.3738,20.9366,2330,12.587,86.3523
1.43452E+11,6,56482,-165.6461,2.1223,150,0,0,0,3566.4,32.419281,-106.319756,623.2,14,36.9,621.9,86.3688,20.8373,2361,12.6955,86.3531
1.43452E+11,6.05,56481,-165.6463,2.1538,152,0,0,0,3597.4,32.4193,-106.319756,620.5,13.9,36.7,619.2,86.3691,20.7708,2392,12.7993,86.3536
1.43452E+11,6.1,56481,-165.6464,2.1852,154,0,0,0,3628.3,32.419315,-106.319733,617.8,13.8,36.6,616.5,86.3717,20.7221,2423,12.9005,86.3544
1.43452E+11,6.15,56480,-165.6466,2.2165,156,0,0,0,3659.1,32.419331,-106.319733,615.1,13.7,36.4,613.8,86.3754,20.6935,2454,12.9971,86.3549
1.43452E+11,6.2,56480,-165.6467,2.2476,158,0,0,0,3689.7,32.41935,-106.31971,612.4,13.7,36.2,611.2,86.3796,20.6847,2485,13.0916,86.3557
1.43452E+11,6.25,56479,-165.6469,2.2786,160,0,0,0,3720.2,32.419365,-106.31971,609.7,13.6,36,608.5,86.3849,20.6904,2515,13.1833,86.3564
1.43452E+11,6.3,56479,-165.647,2.3095,162,0,0,0,3750.6,32.41938,-106.319702,607,13.5,35.7,605.8,86.391,20.7052,2546,13.2722,86.3572
1.43452E+11,6.35,56478,-165.6472,2.3402,164,0,0,0,3780.8,32.419395,-106.319702,604.3,13.4,35.5,603.2,86.3975,20.7296,2576,13.3576,86.3577
1.43452E+11,6.4,56478,-165.6473,2.3708,166,0,0,0,3810.9,32.419415,-106.319702,601.7,13.4,35.3,600.5,86.404,20.7552,2606,13.4423,86.3586
1.43452E+11,6.45,56478,-165.6475,2.4012,167,0,0,0,3840.8,32.419426,-106.319702,599,13.3,35.1,597.8,86.4107,20.7849,2636,13.5242,86.3593
1.43452E+11,6.5,56477,-165.6476,2.4315,169,0,0,0,3870.7,32.419449,-106.319702,596.4,13.2,34.8,595.2,86.4175,20.8157,2666,13.6037,86.3602
1.43452E+11,6.55,56477,-165.6478,2.4617,171,0,0,0,3900.3,32.419464,-106.319702,593.7,13.2,34.6,592.6,86.4238,20.8441,2696,13.6827,86.3611
1.43452E+11,6.6,56477,-165.6479,2.4918,173,0,0,0,3929.9,32.419476,-106.319672,591.2,13.1,34.4,590,86.4293,20.8687,2725,13.7587,86.3622
1.43452E+11,6.65,56476,-165.6481,2.5217,175,0,0,0,3959.4,32.419495,-106.319664,588.7,13.1,34.2,587.5,86.4333,20.8773,2755,13.8331,86.3631
1.43452E+11,6.7,56476,-165.6483,2.5515,177,0,0,0,3988.7,32.419506,-106.319664,586.3,13,34.1,585.2,86.4364,20.8727,2784,13.9055,86.3641
1.43452E+11,6.75,56476,-165.6484,2.5812,178,0,0,0,4017.9,32.419525,-106.319641,584.1,12.9,33.9,583,86.4397,20.8619,2814,13.9756,86.3651
1.43452E+11,6.8,56476,-165.6485,2.6107,180,0,0,0,4047,32.41954,-106.319641,582.2,12.9,33.7,581.1,86.4438,20.8485,2843,14.0449,86.3662
1.43452E+11,6.85,56475,-165.6487,2.6402,182,0,0,0,4076,32.419552,-106.319641,580.5,12.8,33.6,579.3,86.4475,20.825,2872,14.1117,86.3672
1.43452E+11,6.9,56475,-165.6488,2.6696,184,0,0,0,4104.9,32.419575,-106.319633,578.9,12.7,33.5,577.8,86.4483,20.7802,2901,14.1758,86.3681
1.43452E+11,6.95,56475,-165.649,2.699,186,0,0,0,4133.8,32.419586,-106.319618,577.4,12.7,33.5,576.3,86.4439,20.7028,2930,14.239,86.3691
1.43452E+11,7,56475,-165.6491,2.7282,187,0,0,0,4162.5,32.419601,-106.319618,576,12.6,33.5,574.9,86.4361,20.6053,2958,14.3001,86.3702
1.43452E+11,7.05,56475,-165.6492,2.7574,189,0,0,0,4191.3,32.419613,-106.319618,574.6,12.5,33.5,573.5,86.4282,20.5073,2987,14.3596,86.3709
1.43452E+11,7.1,56475,-165.6494,2.7865,191,0,0,0,4219.9,32.419628,-106.319618,573.2,12.5,33.5,572.1,86.4198,20.4072,3016,14.4161,86.3716
1.43452E+11,7.15,56474,-165.6495,2.8155,193,0,0,0,4248.5,32.419643,-106.319603,571.8,12.4,33.6,570.6,86.4104,20.3014,3045,14.4705,86.3721
1.43452E+11,7.2,56474,-165.6496,2.8445,194,0,0,0,4277,32.419666,-106.319588,570.3,12.4,33.6,569.2,86.4001,20.1885,3073,14.5243,86.3726
1.43452E+11,7.25,56474,-165.6497,2.8734,196,0,0,0,4305.4,32.419678,-106.319588,568.9,12.3,33.7,567.8,86.3889,20.0749,3102,14.5751,86.3728
1.43452E+11,7.3,56474,-165.6498,2.9022,198,0,0,0,4333.7,32.419701,-106.319588,567.4,12.2,33.7,566.3,86.3777,19.9584,3130,14.6232,86.3729
1.43452E+11,7.35,56474,-165.65,2.931,200,0,0,0,4362,32.419704,-106.319588,566,12.2,33.7,564.8,86.366,19.8446,3158,14.6713,86.373
1.43452E+11,7.4,56474,-165.6501,2.9597,202,0,0,0,4390.2,32.419724,-106.319588,564.5,12.1,33.8,563.4,86.3542,19.7322,3187,14.7163,86.373
1.43452E+11,7.45,56474,-165.6502,2.9883,203,0,0,0,4418.4,32.419739,-106.319565,563,12.1,33.8,561.9,86.3424,19.6239,3215,14.7596,86.3728
1.43452E+11,7.5,56474,-165.6503,3.0168,205,0,0,0,4446.4,32.419754,-106.319565,561.5,12,33.9,560.3,86.3304,19.5132,3243,14.8011,86.3726
1.43452E+11,7.55,56474,-165.6504,3.0452,207,0,0,0,4474.4,32.419769,-106.31955,559.9,11.9,33.9,558.7,86.3178,19.4071,3271,14.8428,86.3724
1.43452E+11,7.6,56474,-165.6505,3.0736,209,0,0,0,4502.3,32.419788,-106.31955,558.1,11.9,33.9,557,86.3049,19.3041,3299,14.8812,86.3718
1.43452E+11,7.65,56474,-165.6506,3.1018,210,0,0,0,4530.1,32.419796,-106.31955,556.2,11.8,34,555,86.2915,19.2044,3327,14.9193,86.3715
1.43452E+11,7.7,56473,-165.6507,3.13,212,0,0,0,4557.8,32.419815,-106.31955,554.1,11.8,34,553,86.2772,19.1028,3354,14.9553,86.3707
1.43452E+11,7.75,56473,-165.6508,3.1581,214,0,0,0,4585.4,32.41983,-106.319534,552,11.7,34,550.8,86.2636,19.0124,3382,14.9892,86.3698
1.43452E+11,7.8,56473,-165.6509,3.186,216,0,0,0,4612.9,32.419846,-106.319534,549.8,11.7,34,548.6,86.2518,18.9352,3410,15.0217,86.369
1.43452E+11,7.85,56473,-165.651,3.2138,218,0,0,0,4640.2,32.419865,-106.319534,547.7,11.6,34,546.5,86.2425,18.8703,3437,15.0534,86.368
1.43452E+11,7.9,56473,-165.651,3.2416,220,0,0,0,4667.5,32.41988,-106.319519,545.5,11.6,33.9,544.3,86.2344,18.8155,3464,15.0849,86.3671
1.43452E+11,7.95,56473,-165.6511,3.2692,221,0,0,0,4694.7,32.419899,-106.319519,543.4,11.5,33.9,542.2,86.2264,18.7668,3492,15.1146,86.3662
1.43452E+11,8,56473,-165.6512,3.2967,223,0,0,0,4721.7,32.419899,-106.319496,541.3,11.5,33.8,540.1,86.2187,18.7222,3519,15.1432,86.3651
1.43452E+11,8.05,56473,-165.6513,3.3241,225,0,0,0,4748.7,32.419922,-106.319496,539.2,11.4,33.8,538.1,86.2111,18.6774,3546,15.172,86.364
1.43452E+11,8.1,56473,-165.6513,3.3514,227,0,0,0,4775.5,32.419941,-106.319496,537.3,11.4,33.7,536.1,86.2038,18.6308,3573,15.1985,86.3627
1.43452E+11,8.15,56473,-165.6514,3.3786,228,0,0,0,4802.3,32.419956,-106.319496,535.5,11.3,33.7,534.3,86.1973,18.583,3600,15.2246,86.3615
1.43452E+11,8.2,56474,-165.6515,3.4057,230,0,0,0,4829,32.419968,-106.319496,533.9,11.3,33.6,532.7,86.1922,18.5341,3626,15.2507,86.3603
1.43452E+11,8.25,56474,-165.6516,3.4328,232,0,0,0,4855.6,32.419987,-106.319481,532.7,11.2,33.6,531.5,86.1883,18.4849,3653,15.2753,86.3591
